feature,mean_shap_abs
rad_th_k_bmc,0.08568578375298623
geochem_mo_ppm_idw,0.04685502175081752
zn_ppm,0.03720833018844037
mo_ppm,0.02738734197871897
geochem_sn_ppm_idw,0.026172584116954046
gra_ggr_uc500_bmc,0.024420422586449785
rad_th_bmc,0.02280051900007326
ni_ppm,0.022399043642398
mag_rmi_as_bmc,0.021867768932374024
rad_u_th_bmc,0.020468264155873425
rad_u_bmc,0.018257485368012527
mag_rmi_fvd_bmc,0.016799482079042197
geochem_bi_ppm_idw,0.01605132174314862
gra_ggr_res_bmc,0.014100885268276372
pb_ppm,0.013270951244273447
cd_ppm,0.0125646715504588
geochem_tl_ppm_idw,0.012268315684533427
geochem_fa_factor2_idw,0.011513323253387818
rad_k_bmc,0.011056839690029137
ag_ppm,0.009388633508708628
gra_ggr_tdr_bmc,0.0088087313448442
sn_ppm,0.008211141080751985
geochem_pb_ppm_idw,0.008009163918260113
in_ppm,0.007456375489361773
rad_k_th_bmc,0.007451914576734771
rad_u_k_bmc,0.0072802851118577
geochem_cu_ppm_idw,0.006988417807268888
geochem_pca_pc4_idw,0.00672744218809195
mag_rmi_tdr_bmc,0.0067136927567351306
geochem_cd_ppm_idw,0.006701784255348972
geochem_fe_ppm_idw,0.006356274861443066
geochem_sb_ppm_idw,0.0062358307572080805
geochem_ni_ppm_idw,0.0060933920416716015
geochem_pca_pc2_idw,0.006012309456827462
gra_ggr_as_bmc,0.00579578842919603
geochem_pca_pc1_idw,0.005509516013201746
geochem_zn_ppm_idw,0.0051444378973289845
gra_ggr_fvd_bmc,0.004937315148050044
geochem_ba_ppm_idw,0.0049110666682068375
geochem_mn_ppm_idw,0.004903539613665819
ba_ppm,0.004501243356956055
co_ppm,0.004252328310235333
gra_ggr_hgm_bmc,0.0041348789186160355
geochem_as_ppm_idw,0.003743652493400614
mag_rmi_thg_bmc,0.003664474708160597
bi_ppm,0.0034424303756368352
cu_ppm,0.0031807156199220488
sb_ppm,0.0030541764429652006
as_ppm,0.0030004150400907707
tl_ppm,0.0028542275929937305
geochem_fa_factor4_idw,0.002789456045523785
geochem_ag_ppm_idw,0.002565603144970966
geochem_fa_factor1_idw,0.002464416412877584
mn_ppm,0.0021189556137916504
mag_rmi_bmc_combined1,0.001859770465159038
geochem_co_ppm_idw,0.0015493707148142189
fe_ppm,0.001327977783722124
geochem_fa_factor3_idw,0.0011220630285783133
geochem_pca_pc3_idw,0.0009608371213401334
geochem_in_ppm_idw,0.00010519892590646454
